Timestamp,Name of your startup,In which sector does your startup belongs to ?,What are the top challenges your startup is currently facing ?,How would you rate the the ease of accessing government schemes and support ?,Have government schemes helped in improving your startup's access to funding or resources ?,On a scale  of 1 to 5 how would you rate the overall startup ecosystem in Kerala ?,What would you suggest to improve Kerala's startup ecosystem ?,What role do you think government incubators and accelerators have played in your startup's journey ?,What are the key challenges your startup encounters while hiring and retaining skilled talent within Kerala ?,What are the key challenges you face in accessing investors within the Kerala ecosystem?," On a scale of 1-5, how would you rate the availability of skilled labor in Kerala for your startup's needs? ",What are the key advantage of starting a business in Kerala? ,How competitive do you find the startup landscape in Kerala ? ,What emerging trend or technology do you see influencing the startup ecosystem in Kerala over the next few years ? , In your opinion what is the likelihood (in percentage) that a startup will survive in Kerala’s current ecosystem ? ,Is there any specific sector in Kerala that you believe which receive more support or attention compared to other ? ,What is the percentage probability that a startup will receive external funding? 
11/02/2024 14:23:13,thapty trading and e-commerce pvt ltd,Others,"Regulatory hurdles, Infrastructure issues",3.0,Partially,3.0,More access to funding,"Crucial support for early stages, Boosting credibility and visibility",Skill gap and talent shortage,Lack of Investor Networks,3.0,Quality of life,Highly competitive in certain sectors,Artificial intelligence and machine learning,20-30%,IT/ITes,30-40%
12/29/2024 09:57:37,Fawzlabs pvt ltd,Artificial Intelligence,Hiring talent,2.0,Partially,2.0,Better infrastructure,Crucial support for early stages,"Skill gap and talent shortage, Work culture and migration",Investors hesitant to invest in early-stage startups,3.0,Quality of life,Highly competitive in certain sectors,"Artificial intelligence and machine learning, Sustainable and green technologies",10-20%,IT/ITes,20-30%
11/19/2024 09:24:00,Phyction technology labs pvt ltd,Artificial Intelligence,"Hiring talent, Market competition",3.0,Partially,3.0,More access to funding,Crucial support for early stages,Skill gap and talent shortage,Lack of Investor Networks,3.0,Quality of life,Moderately competitive but growing,Artificial intelligence and machine learning,40-50%,IT/ITes,30-40%
12/13/2024 05:32:55,Xylem Learning Pvt Ltd,Edtech,Market competition,3.0,Partially,3.0,Better infrastructure,Access to networks and partnerships,Skill gap and talent shortage,Lack of Investor Networks,3.0,Government support & startup ecosystem,Collaborative more than competetive,Artificial intelligence and machine learning,40-50%,IOT,30-40%
11/08/2024 16:36:57,Lann ventures pvt ltd,IOT,"Hiring talent, Market competition",3.0,Partially,3.0,"More access to funding, Better infrastructure",Crucial support for early stages,Skill gap and talent shortage,Lack of Investor Networks,3.0,Quality of life,Moderately competitive but growing,"Artificial intelligence and machine learning, Sustainable and green technologies",20-30%,IT/ITes,10-20%
11/19/2024 23:37:09,Corporate360 Pvt Ltd,IT/ITeS,Market competition,4.0,Yes,4.0,Improved networking oppurtunities,,Limited industry exposure,"Fewer angel investor groups, venture capital firms, or funding institutions specific to Kerala.",3.0,,Highly competitive in certain sectors,"Artificial intelligence and machine learning, Blockchain and fintech",30-40%,IOT,30-40%
01/22/2025 16:13:02,Vibhavin Technologies,Edtech,"Hiring talent, Market competition",4.0,Yes,4.0,"Policy reforms, Improved networking oppurtunities",Crucial support for early stages,Limited industry exposure,"Fewer angel investor groups, venture capital firms, or funding institutions specific to Kerala.",4.0,Skilled workforce,Moderately competitive but growing,Artificial intelligence and machine learning,10-20%,Edtech,10-20%
11/08/2024 06:53:53,Nexospark ,Others,,4.0,Yes,4.0,More access to funding,Access to networks and partnerships,"Skill gap and talent shortage, Limited industry exposure",,4.0,Social infrastructure & connectivity,Moderately competitive but growing,Artificial intelligence and machine learning,40-50%,,30-40%
12/14/2024 01:01:22,G'xtron innovations llp,Artificial Intelligence,Hiring talent,3.0,Partially,4.0,More access to funding,Boosting credibility and visibility,Skill gap and talent shortage,Lack of Investor Networks,3.0,Quality of life,Highly competitive in certain sectors,Sustainable and green technologies,20-30%,IOT,20-30%
09/24/2024 03:12:45,DIVAUX TECHNOLOGIES,Artificial Intelligence,"Regulatory hurdles, Infrastructure issues",3.0,No,3.0,"Policy reforms, Better infrastructure, Improved networking oppurtunities","Crucial support for early stages, Boosting credibility and visibility, Limited impact or bureaucratic delays","Skill gap and talent shortage, Limited industry exposure","Lack of Investor Networks, Geographic constraints like distance from major investment hubs like Bangalore                                                              Mumbai, Complex procedures or regulations that make it harder to pitch to investors",2.0,"Skilled workforce, Quality of life, Social infrastructure & connectivity",Highly competitive in certain sectors,"Blockchain and fintech, Health tech and telemedicine",10-20%,Health Tech,10-20%
11/09/2024 09:29:18,FOSTER INNOVATION LAB PRIVATE LIMITED,Artificial Intelligence,"Access to funding, Regulatory hurdles",4.0,Yes,4.0,Improved networking oppurtunities,Crucial support for early stages,"Skill gap and talent shortage, Retention and competition","Lack of Investor Networks, Investors hesitant to invest in early-stage startups",3.0,"Quality of life, Social infrastructure & connectivity",Highly competitive in certain sectors,Blockchain and fintech,10-20%,IT/ITes,10-20%
11/14/2024 16:07:12,redmonark technologies llp,Artificial Intelligence,"Hiring talent, Market competition",3.0,Partially,3.0,Policy reforms,Boosting credibility and visibility,,Lack of Investor Networks,3.0,Quality of life,Highly competitive in certain sectors,Artificial intelligence and machine learning,20-30%,IT/ITes,20-30%
12/11/2024 13:53:35,aask edutech,Edtech,"Market competition, Regulatory hurdles",3.0,Partially,4.0,"Policy reforms, More access to funding","Crucial support for early stages, Access to networks and partnerships",Retention and competition,Investors hesitant to invest in early-stage startups,4.0,Social infrastructure & connectivity,Highly competitive in certain sectors,Artificial intelligence and machine learning,10-20%,IT/ITes,upto 10%
12/13/2024 00:17:11,TREE TAG PRIVATE LIMITED ,Others,"Access to funding, Market competition",2.0,Partially,,"Policy reforms, Improved networking oppurtunities",Access to networks and partnerships,Limited industry exposure,"Investors hesitant to invest in early-stage startups, Geographic constraints like distance from major investment hubs like Bangalore                                                              Mumbai, Fewer angel investor groups, venture capital firms, or funding institutions specific to Kerala.",1.0,"Skilled workforce, Social infrastructure & connectivity",Less competetive compared to larger hubs,Blockchain and fintech,20-30%,Health Tech,20-30%
09/22/2024 21:05:41,Geowiz consultancy pvt ltd,Artificial Intelligence,Hiring talent,3.0,Partially,3.0,"More access to funding, Better infrastructure",Crucial support for early stages,Skill gap and talent shortage,Lack of Investor Networks,3.0,"Quality of life, Social infrastructure & connectivity",Less competetive compared to larger hubs,Sustainable and green technologies,20-30%,IT/ITes,20-30%
01/10/2025 04:53:19,YN'T INNOVATIONS PRIVATE LIMITED,Artificial Intelligence,"Access to funding, Hiring talent",3.0,No,3.0,Better infrastructure,Crucial support for early stages,Skill gap and talent shortage,Investors hesitant to invest in early-stage startups,2.0,Quality of life,Moderately competitive but growing,"Sustainable and green technologies, Blockchain and fintech",10-20%,Edtech,upto 10%
09/18/2024 23:38:02,WELLGREEN TECHNOLOGIES PRIVATE LIMITED,HealthTech,Access to funding,3.0,Yes,4.0,Improved networking oppurtunities,Crucial support for early stages,"Skill gap and talent shortage, Retention and competition",Complex procedures or regulations that make it harder to pitch to investors,3.0,Social infrastructure & connectivity,Moderately competitive but growing,"Blockchain and fintech, Health tech and telemedicine",10-20%,IT/ITes,upto 10%
09/08/2024 05:10:01,techfinity systems pvt ltd,Artificial Intelligence,"Hiring talent, Market competition",3.0,Partially,3.0,More access to funding,Crucial support for early stages,Retention and competition,Investors hesitant to invest in early-stage startups,3.0,Quality of life,Highly competitive in certain sectors,"Artificial intelligence and machine learning, Sustainable and green technologies",30-40%,IT/ITes,20-30%
09/22/2024 14:00:17,Intellioak Technologies Pvt Ltd,IT/ITeS,,,,2.0,,,Skill gap and talent shortage,Investors hesitant to invest in early-stage startups,4.0,,Collaborative more than competetive,Artificial intelligence and machine learning,,IOT,
11/18/2024 05:40:44,ZEWA FEEDS LLP,Artificial Intelligence,"Hiring talent, Regulatory hurdles",3.0,Partially,3.0,Improved networking oppurtunities,Access to networks and partnerships,Work culture and migration,Geographic constraints like distance from major investment hubs like Bangalore                                                              Mumbai,,Government support & startup ecosystem,Less competetive compared to larger hubs,Blockchain and fintech,20-30%,Edtech,
12/26/2024 16:19:25,Orgaayur productions pvt ltd,Others,"Regulatory hurdles, Infrastructure issues",3.0,No,3.0,"More access to funding, Better infrastructure",Boosting credibility and visibility,Skill gap and talent shortage,Lack of Investor Networks,3.0,Quality of life,Highly competitive in certain sectors,Artificial intelligence and machine learning,40-50%,IT/ITes,20-30%
09/13/2024 10:01:15,TAPPE PRIVATE LIMITED ,Fintech,"Market competition, Regulatory hurdles",3.0,No,2.0,More access to funding,"Boosting credibility and visibility, Access to networks and partnerships","Skill gap and talent shortage, Work culture and migration",Geographic constraints like distance from major investment hubs like Bangalore                                                              Mumbai,2.0,Government support & startup ecosystem,Collaborative more than competetive,"Sustainable and green technologies, Health tech and telemedicine",20-30%,Fintech,10-20%
01/26/2025 05:22:36,LINKZAI SOLUTION PRIVATE LIMITED ,Fintech,"Access to funding, Market competition",2.0,No,3.0,"More access to funding, Better infrastructure","Access to networks and partnerships, Limited impact or bureaucratic delays",Limited industry exposure,Geographic constraints like distance from major investment hubs like Bangalore                                                              Mumbai,3.0,"Government support & startup ecosystem, Social infrastructure & connectivity",,"Artificial intelligence and machine learning, Sustainable and green technologies",10-20%,Edtech,20-30%
01/29/2025 12:04:38,KARADAN INFINITY TECH PRIVATE LIMITED,HealthTech,Access to funding,3.0,No,3.0,More access to funding,Crucial support for early stages,Skill gap and talent shortage,Lack of Investor Networks,3.0,Skilled workforce,Highly competitive in certain sectors,Artificial intelligence and machine learning,upto 10%,Edtech,upto 10%
10/29/2024 22:44:47,Nuanced Computing LLP,IT/ITeS,"Access to funding, Hiring talent",3.0,No,3.0,"Policy reforms, Better infrastructure",Crucial support for early stages,"Retention and competition, Work culture and migration","Lack of Investor Networks, Complex procedures or regulations that make it harder to pitch to investors",3.0,"Skilled workforce, Quality of life",Moderately competitive but growing,Artificial intelligence and machine learning,10-20%,IT/ITes,10-20%
01/08/2025 04:55:39,TELEGREEN PRIVATE LIMITED,HealthTech,"Access to funding, Hiring talent",2.0,Partially,4.0,"Policy reforms, More access to funding, Better infrastructure, Improved networking oppurtunities","Crucial support for early stages, Access to networks and partnerships, Limited impact or bureaucratic delays","Skill gap and talent shortage, Retention and competition","Investors hesitant to invest in early-stage startups, Geographic constraints like distance from major investment hubs like Bangalore                                                              Mumbai, Fewer angel investor groups, venture capital firms, or funding institutions specific to Kerala.",2.0,"Skilled workforce, Quality of life",Highly competitive in certain sectors,"Artificial intelligence and machine learning, Blockchain and fintech, Health tech and telemedicine",10-20%,IOT,10-20%
01/16/2025 14:47:55,Vikn Codes Llp,IT/ITeS,Access to funding,2.0,No,3.0,Policy reforms,Crucial support for early stages,Retention and competition,Lack of Investor Networks,4.0,Skilled workforce,Highly competitive in certain sectors,"Artificial intelligence and machine learning, Sustainable and green technologies",upto 10%,Edtech,upto 10%
09/29/2024 21:22:23,roo cabs llp,Artificial Intelligence,"Hiring talent, Market competition",3.0,Partially,3.0,More access to funding,Crucial support for early stages,Skill gap and talent shortage,Lack of Investor Networks,3.0,Quality of life,Moderately competitive but growing,Artificial intelligence and machine learning,20-30%,IT/ITes,30-40%
10/19/2024 07:47:20,Gi investments,Edtech,Market competition,3.0,Partially,3.0,Better infrastructure,Crucial support for early stages,Skill gap and talent shortage,Investors hesitant to invest in early-stage startups,3.0,Quality of life,Moderately competitive but growing,Artificial intelligence and machine learning,20-30%,IT/ITes,10-20%
12/11/2024 19:14:49,Bizboozt Services,Fintech,Access to funding,3.0,No,4.0,More access to funding,Crucial support for early stages,Skill gap and talent shortage,"Lack of Investor Networks, Fewer angel investor groups, venture capital firms, or funding institutions specific to Kerala.",4.0,Skilled workforce,Less competetive compared to larger hubs,"Artificial intelligence and machine learning, Sustainable and green technologies",30-40%,Edtech,upto 10%
10/07/2024 08:22:20,Lafe Healthcare Pvt Ltd,HealthTech,Access to funding,4.0,Partially,3.0,Better infrastructure,Access to networks and partnerships,Skill gap and talent shortage,Lack of Investor Networks,3.0,Government support & startup ecosystem,Moderately competitive but growing,Artificial intelligence and machine learning,40-50%,IOT,30-40%
12/24/2024 12:45:29,Nexba healthcare marketing and services pvt ltd,HealthTech,"Hiring talent, Market competition",3.0,Partially,3.0,More access to funding,Crucial support for early stages,Skill gap and talent shortage,Lack of Investor Networks,3.0,Quality of life,Moderately competitive but growing,"Artificial intelligence and machine learning, Sustainable and green technologies",30-40%,IT/ITes,20-30%
09/16/2024 11:52:52,STROFES TECH,Artificial Intelligence,Market competition,4.0,No,3.0,"Policy reforms, Improved networking oppurtunities","Crucial support for early stages, Limited impact or bureaucratic delays","Skill gap and talent shortage, Retention and competition","Lack of Investor Networks, Complex procedures or regulations that make it harder to pitch to investors",3.0,"Skilled workforce, Quality of life",Highly competitive in certain sectors,"Artificial intelligence and machine learning, Blockchain and fintech",10-20%,IT/ITes,10-20%
11/10/2024 00:46:59,Orange group finance technology ,Fintech,"Hiring talent, Infrastructure issues",2.0,No,2.0,Better infrastructure,"Access to networks and partnerships, Limited impact or bureaucratic delays",Retention and competition,"Geographic constraints like distance from major investment hubs like Bangalore                                                              Mumbai, Complex procedures or regulations that make it harder to pitch to investors",3.0,Government support & startup ecosystem,Collaborative more than competetive,"Sustainable and green technologies, Blockchain and fintech",10-20%,Fintech,10-20%
09/03/2024 22:15:55,Fygy Health ,HealthTech,"Hiring talent, Regulatory hurdles",3.0,Partially,3.0,Better infrastructure,Crucial support for early stages,"Skill gap and talent shortage, Retention and competition","Lack of Investor Networks, Fewer angel investor groups, venture capital firms, or funding institutions specific to Kerala.",3.0,Quality of life,Moderately competitive but growing,"Artificial intelligence and machine learning, Blockchain and fintech",20-30%,IT/ITes,10-20%
10/27/2024 05:51:05,ENGINEERMODE PRIVATE LIMITED,Artificial Intelligence,"Access to funding, Hiring talent",2.0,Partially,3.0,Improved networking oppurtunities,Crucial support for early stages,Skill gap and talent shortage,"Lack of Investor Networks, Investors hesitant to invest in early-stage startups",3.0,"Skilled workforce, Quality of life",Moderately competitive but growing,Artificial intelligence and machine learning,10-20%,Edtech,10-20%
11/22/2024 13:16:06,EXAMWINNER LEARNING SOLUTIONS PRIVATE LIMITED,Edtech,Market competition,,No,3.0,Improved networking oppurtunities,"Crucial support for early stages, Access to networks and partnerships",Limited industry exposure,Investors hesitant to invest in early-stage startups,4.0,Skilled workforce,Highly competitive in certain sectors,Artificial intelligence and machine learning,10-20%,IOT,upto 10%
09/02/2024 15:33:39,Orange group Financial Technologies,Fintech,"Access to funding, Regulatory hurdles",3.0,Yes,4.0,"Policy reforms, More access to funding",Crucial support for early stages,"Skill gap and talent shortage, Retention and competition, Limited industry exposure",Geographic constraints like distance from major investment hubs like Bangalore                                                              Mumbai,3.0,"Government support & startup ecosystem, Social infrastructure & connectivity",,"Artificial intelligence and machine learning, Blockchain and fintech",10-20%,IOT,upto 10%
11/14/2024 04:46:47,International virtual assistance pvt ltd,Artificial Intelligence,"Access to funding, Hiring talent",3.0,Partially,3.0,More access to funding,Crucial support for early stages,Skill gap and talent shortage,Lack of Investor Networks,3.0,Quality of life,Moderately competitive but growing,"Artificial intelligence and machine learning, Sustainable and green technologies",30-40%,IT/ITes,20-30%
12/29/2024 01:00:57,technocil pvt ltd,Edtech,"Hiring talent, Market competition",3.0,Partially,3.0,"Policy reforms, Improved networking oppurtunities",Boosting credibility and visibility,Skill gap and talent shortage,Lack of Investor Networks,3.0,Quality of life,Highly competitive in certain sectors,Sustainable and green technologies,20-30%,IT/ITes,30-40%
01/14/2025 22:54:20,Metanoa labs pvt ltd,HealthTech,Access to funding,3.0,Partially,3.0,More access to funding,Crucial support for early stages,Skill gap and talent shortage,Lack of Investor Networks,3.0,Quality of life,Moderately competitive but growing,Artificial intelligence and machine learning,30-40%,IT/ITes,30-40%
10/08/2024 18:33:11,Eazetx pvt ltd,HealthTech,Access to funding,3.0,Partially,4.0,Better infrastructure,"Crucial support for early stages, Access to networks and partnerships",Retention and competition,"Fewer angel investor groups, venture capital firms, or funding institutions specific to Kerala.",4.0,Skilled workforce,Moderately competitive but growing,Artificial intelligence and machine learning,10-20%,Edtech,upto 10%
12/13/2024 09:50:45,Wellnexus Technologies Pvt Ltd,IT/ITeS,Market competition,4.0,Yes,4.0,Improved networking oppurtunities,,Retention and competition,Investors hesitant to invest in early-stage startups,4.0,"Skilled workforce, Quality of life",Collaborative more than competetive,Artificial intelligence and machine learning,30-40%,Health Tech,30-40%
01/08/2025 22:39:16,LOOMIAN ENTERPRISE PRIVATE LIMITED ,IT/ITeS,"Access to funding, Market competition",2.0,No,2.0,"Better infrastructure, Improved networking oppurtunities","Crucial support for early stages, Access to networks and partnerships","Retention and competition, Limited industry exposure",Geographic constraints like distance from major investment hubs like Bangalore                                                              Mumbai,3.0,Government support & startup ecosystem,Less competetive compared to larger hubs,Sustainable and green technologies,20-30%,Adtech,20-30%
09/10/2024 05:42:59,HAPPY MIND HOME CARE PVT LTD,HealthTech,"Access to funding, Hiring talent, Regulatory hurdles",4.0,Yes,4.0,"Policy reforms, Better infrastructure","Crucial support for early stages, Access to networks and partnerships","Skill gap and talent shortage, Retention and competition","Lack of Investor Networks, Investors hesitant to invest in early-stage startups, Geographic constraints like distance from major investment hubs like Bangalore                                                              Mumbai, Complex procedures or regulations that make it harder to pitch to investors, Fewer angel investor groups, venture capital firms, or funding institutions specific to Kerala.",2.0,"Skilled workforce, Government support & startup ecosystem",Highly competitive in certain sectors,Health tech and telemedicine,20-30%,Health Tech,10-20%
11/09/2024 17:54:54,Oeuvre enterprises pvt ltd,HealthTech,Hiring talent,3.0,Partially,3.0,More access to funding,Crucial support for early stages,Skill gap and talent shortage,Lack of Investor Networks,3.0,Quality of life,Highly competitive in certain sectors,Artificial intelligence and machine learning,30-40%,IOT,30-40%
11/14/2024 06:09:23,International virtual assistance pvt ltd,Artificial Intelligence,"Access to funding, Hiring talent, Market competition",3.0,Partially,3.0,"More access to funding, Better infrastructure",Crucial support for early stages,Skill gap and talent shortage,Lack of Investor Networks,3.0,"Quality of life, Social infrastructure & connectivity",Highly competitive in certain sectors,"Artificial intelligence and machine learning, Sustainable and green technologies",30-40%,IT/ITes,10-20%
10/08/2024 02:46:30,qx robotics pvt ltd,HealthTech,Market competition,3.0,Partially,3.0,Policy reforms,Crucial support for early stages,Skill gap and talent shortage,Lack of Investor Networks,3.0,Quality of life,Moderately competitive but growing,Artificial intelligence and machine learning,30-40%,IT/ITes,20-30%
11/22/2024 18:45:03,Edubyheart India ,Edtech,"Hiring talent, Market competition",3.0,Yes,4.0,More access to funding,Crucial support for early stages,Retention and competition,Lack of Investor Networks,3.0,"Skilled workforce, Quality of life",Highly competitive in certain sectors,Artificial intelligence and machine learning,10-20%,IOT,upto 10%
01/26/2025 20:20:35,DHAN SETHU DIGIFIN,Fintech,"Access to funding, Market competition",4.0,No,3.0,"Policy reforms, Better infrastructure","Crucial support for early stages, Boosting credibility and visibility",Skill gap and talent shortage,"Lack of Investor Networks, Investors hesitant to invest in early-stage startups",3.0,"Skilled workforce, Quality of life",Highly competitive in certain sectors,"Artificial intelligence and machine learning, Health tech and telemedicine",10-20%,IT/ITes,upto 10%
12/24/2024 19:04:14,MAATRA TECHNOLOGY AND CONSULTUNCY PRIVATE LIMITED ,IT/ITeS,"Access to funding, Market competition",3.0,No,2.0,"Policy reforms, Better infrastructure","Access to networks and partnerships, Limited impact or bureaucratic delays",Skill gap and talent shortage,"Geographic constraints like distance from major investment hubs like Bangalore                                                              Mumbai, Complex procedures or regulations that make it harder to pitch to investors",2.0,"Government support & startup ecosystem, Social infrastructure & connectivity",Less competetive compared to larger hubs,Artificial intelligence and machine learning,10-20%,Edtech,10-20%
11/26/2024 08:24:07,Global eyet software solutions pvt ltd,Edtech,"Hiring talent, Market competition",4.0,Partially,3.0,More access to funding,Access to networks and partnerships,Skill gap and talent shortage,"Lack of Investor Networks, Investors hesitant to invest in early-stage startups",3.0,"Quality of life, Others",Moderately competitive but growing,"Artificial intelligence and machine learning, Sustainable and green technologies",40-50%,IT/ITes,20-30%
10/18/2024 02:27:56,Comprehealth technologies ,HealthTech,"Access to funding, Regulatory hurdles",3.0,Partially,3.0,Improved networking oppurtunities,Crucial support for early stages,"Limited industry exposure, Work culture and migration","Fewer angel investor groups, venture capital firms, or funding institutions specific to Kerala.",4.0,Skilled workforce,Highly competitive in certain sectors,Artificial intelligence and machine learning,upto 10%,IT/ITes,10-20%
12/31/2024 23:19:37,Lidot edutech llp,Edtech,"Hiring talent, Market competition",3.0,Partially,3.0,Improved networking oppurtunities,Boosting credibility and visibility,Retention and competition,Investors hesitant to invest in early-stage startups,3.0,Quality of life,Highly competitive in certain sectors,Artificial intelligence and machine learning,30-40%,IT/ITes,30-40%
12/07/2024 21:52:36,Triaxon Technologies ,IOT,Hiring talent,3.0,Partially,3.0,Better infrastructure,Access to networks and partnerships,Skill gap and talent shortage,"Fewer angel investor groups, venture capital firms, or funding institutions specific to Kerala.",2.0,Social infrastructure & connectivity,Moderately competitive but growing,Artificial intelligence and machine learning,upto 10%,IT/ITes,10-20%
01/19/2025 04:14:48,BIZTROCRAT BUSINESS & TRADES PRIVATE LIMITED ,Others,"Market competition, Regulatory hurdles",4.0,No,3.0,More access to funding,Access to networks and partnerships,"Limited industry exposure, Work culture and migration","Geographic constraints like distance from major investment hubs like Bangalore                                                              Mumbai, Complex procedures or regulations that make it harder to pitch to investors, Fewer angel investor groups, venture capital firms, or funding institutions specific to Kerala.",3.0,Social infrastructure & connectivity,Less competetive compared to larger hubs,Artificial intelligence and machine learning,40-50%,Adtech,10-20%
10/03/2024 13:56:04,Good Methods  Software Solutions Pvt Ltd,IT/ITeS,"Access to funding, Hiring talent, Market competition",3.0,Partially,3.0,"Policy reforms, More access to funding, Improved networking oppurtunities","Crucial support for early stages, Access to networks and partnerships","Skill gap and talent shortage, Retention and competition",Complex procedures or regulations that make it harder to pitch to investors,3.0,Others,Highly competitive in certain sectors,"Artificial intelligence and machine learning, Sustainable and green technologies, Blockchain and fintech",20-30%,Fintech,20-30%
11/30/2024 06:12:07,MINT MINDS TECH PRIVATE LIMITED ,Artificial Intelligence,"Access to funding, Market competition",2.0,Partially,3.0,"Policy reforms, More access to funding, Improved networking oppurtunities","Crucial support for early stages, Boosting credibility and visibility","Limited industry exposure, Work culture and migration","Geographic constraints like distance from major investment hubs like Bangalore                                                              Mumbai, Complex procedures or regulations that make it harder to pitch to investors",2.0,,Highly competitive in certain sectors,"Blockchain and fintech, Health tech and telemedicine",30-40%,Edtech,10-20%
12/28/2024 18:56:47,OXYLEM PRIVATE LIMITED ,IT/ITeS,Market competition,3.0,Partially,3.0,"More access to funding, Better infrastructure",Limited impact or bureaucratic delays,"Limited industry exposure, Work culture and migration","Geographic constraints like distance from major investment hubs like Bangalore                                                              Mumbai, Fewer angel investor groups, venture capital firms, or funding institutions specific to Kerala.",3.0,Social infrastructure & connectivity,Highly competitive in certain sectors,Sustainable and green technologies,20-30%,Adtech,10-20%
11/11/2024 07:18:39,Fitmelive healthcare llp,HealthTech,"Hiring talent, Infrastructure issues",4.0,Partially,3.0,"More access to funding, Better infrastructure",Access to networks and partnerships,"Skill gap and talent shortage, Limited industry exposure","Lack of Investor Networks, Fewer angel investor groups, venture capital firms, or funding institutions specific to Kerala.",3.0,Quality of life,Moderately competitive but growing,Artificial intelligence and machine learning,20-30%,IT/ITes,20-30%
11/16/2024 21:12:42,Norq Technology,IT/ITeS,Infrastructure issues,3.0,Partially,5.0,"Better infrastructure, Improved networking oppurtunities, Others",Boosting credibility and visibility,Retention and competition,"Investors hesitant to invest in early-stage startups, Geographic constraints like distance from major investment hubs like Bangalore                                                              Mumbai, Complex procedures or regulations that make it harder to pitch to investors, Fewer angel investor groups, venture capital firms, or funding institutions specific to Kerala.",3.0,"Skilled workforce, Quality of life, Social infrastructure & connectivity, Others",Moderately competitive but growing,"Sustainable and green technologies, Blockchain and fintech, Health tech and telemedicine",40-50%,Edtech,10-20%
12/23/2024 14:43:08,Logrithm innovations pvt ltd,IOT,"Hiring talent, Market competition",3.0,Partially,4.0,"Policy reforms, More access to funding",Crucial support for early stages,"Skill gap and talent shortage, Work culture and migration",Lack of Investor Networks,3.0,Quality of life,Moderately competitive but growing,"Artificial intelligence and machine learning, Sustainable and green technologies",30-40%,IT/ITes,20-30%
01/23/2025 11:50:51,Tappe Private Limited,Fintech,"Access to funding, Hiring talent, Regulatory hurdles",3.0,No,3.0,"Policy reforms, More access to funding, Better infrastructure","Crucial support for early stages, Access to networks and partnerships","Skill gap and talent shortage, Retention and competition, Limited industry exposure","Lack of Investor Networks, Investors hesitant to invest in early-stage startups, Geographic constraints like distance from major investment hubs like Bangalore                                                              Mumbai",3.0,Quality of life,Highly competitive in certain sectors,"Artificial intelligence and machine learning, Blockchain and fintech",20-30%,IOT,upto 10%
10/12/2024 14:08:26,NORFIC PUFFIN TECHNOLOGIES PRIVATE LIMITED,IT/ITeS,"Hiring talent, Market competition",2.0,No,2.0,"Policy reforms, Better infrastructure","Access to networks and partnerships, Limited impact or bureaucratic delays","Retention and competition, Limited industry exposure",Geographic constraints like distance from major investment hubs like Bangalore                                                              Mumbai,2.0,Social infrastructure & connectivity,Less competetive compared to larger hubs,Artificial intelligence and machine learning,10-20%,IOT,10-20%
11/28/2024 13:51:06,Magoin pvt ltd,Edtech,Market competition,4.0,Partially,3.0,"Policy reforms, Improved networking oppurtunities",Crucial support for early stages,Skill gap and talent shortage,Lack of Investor Networks,3.0,"Quality of life, Social infrastructure & connectivity",Moderately competitive but growing,Artificial intelligence and machine learning,30-40%,IOT,20-30%
10/16/2024 20:40:09,Holizen Software Solutions,Artificial Intelligence,Regulatory hurdles,2.0,No,2.0,"Better infrastructure, Improved networking oppurtunities",Crucial support for early stages,"Skill gap and talent shortage, Retention and competition, Limited industry exposure","Lack of Investor Networks, Fewer angel investor groups, venture capital firms, or funding institutions specific to Kerala.",2.0,Others,Moderately competitive but growing,Artificial intelligence and machine learning,10-20%,IT/ITes,upto 10%
12/28/2024 15:50:02,Intellioak Technologies Pvt Ltd,IT/ITeS,Hiring talent,4.0,Partially,3.0,Improved networking oppurtunities,Boosting credibility and visibility,Skill gap and talent shortage,Lack of Investor Networks,3.0,Government support & startup ecosystem,Collaborative more than competetive,Blockchain and fintech,40-50%,IOT,30-40%
11/12/2024 01:04:58,Maxlearn Educational Services Pvt Ltd,Edtech,"Access to funding, Market competition, Regulatory hurdles",2.0,No,2.0,"More access to funding, Better infrastructure","Crucial support for early stages, Boosting credibility and visibility","Skill gap and talent shortage, Retention and competition","Lack of Investor Networks, Investors hesitant to invest in early-stage startups, Geographic constraints like distance from major investment hubs like Bangalore                                                              Mumbai, Complex procedures or regulations that make it harder to pitch to investors, Fewer angel investor groups, venture capital firms, or funding institutions specific to Kerala.",4.0,"Skilled workforce, Government support & startup ecosystem",Moderately competitive but growing,"Artificial intelligence and machine learning, Health tech and telemedicine",10-20%,IOT,10-20%
09/24/2024 18:32:31,Oncloud infotech pvt ltd,HealthTech,Hiring talent,3.0,Partially,3.0,More access to funding,Crucial support for early stages,Skill gap and talent shortage,Lack of Investor Networks,3.0,Quality of life,Moderately competitive but growing,Artificial intelligence and machine learning,30-40%,IT/ITes,30-40%
09/15/2024 17:35:08,Centgrade Labs,Edtech,Market competition,2.0,No,3.0,More access to funding,Crucial support for early stages,Retention and competition,"Lack of Investor Networks, Complex procedures or regulations that make it harder to pitch to investors",4.0,Skilled workforce,Moderately competitive but growing,Artificial intelligence and machine learning,10-20%,IOT,20-30%
10/04/2024 08:26:49,tensorbot innovations pvt ltd,Artificial Intelligence,Hiring talent,4.0,Partially,4.0,Improved networking oppurtunities,Boosting credibility and visibility,Skill gap and talent shortage,Investors hesitant to invest in early-stage startups,3.0,Quality of life,Highly competitive in certain sectors,"Artificial intelligence and machine learning, Sustainable and green technologies",30-40%,IT/ITes,20-30%
